mag,ra,dec
10.1,0.131859,-42.153958
8.21,0.131915,-51.257907
8.85,0.133121,-14.226944
7.79,0.133148,-78.210991
7.58,0.133152,-18.684727
7.85,0.133399,-7.544697
7.18,0.133431,-78.598759
7.54,0.133545,29.837513
9.72,0.133562,-39.612117
7.12,0.13381,31.391161
9.77,0.133861,-30.031682
8.84,0.133909,-45.382176
5.67,0.134303,-33.529326
8.15,0.134628,53.796246
9.61,0.134723,-29.41641
8.19,0.134941,4.927244
7.27,0.135998,31.378998
8.51,0.136113,71.159451
8.36,0.136595,-59.063073
10,0.136628,-38.281353
8.74,0.136659,-70.055825
6.18,0.136693,-2.447711
10.26,0.136989,-43.646862
10.16,0.137119,-49.721831
8.31,0.137128,29.732273
8.58,0.137408,42.223421
7.04,0.137879,-14.824492
8.81,0.138042,34.49525
5.99,0.138204,-8.824112
8.22,0.138515,-32.700965
9.86,0.1392,-42.943639
8,0.139486,3.440644
9.4,0.13964,21.924458
9.1,0.139757,-19.224152
2.07,0.139791,29.090432
8.11,0.140077,50.245332
8.89,0.140227,-57.195133
9.43,0.14037,-51.400744
7.59,0.140485,6.616805
8.72,0.140568,41.957982
9.86,0.140688,-44.273626
9.23,0.140806,-53.443168
9.5,0.140864,-30.068597
10.73,0.140912,17.4243
7.59,0.141017,-24.093733
7.41,0.141237,34.934547
9.26,0.141607,-66.514202
7.78,0.141714,52.336458
7.76,0.141914,-6.792152
8.94,0.142018,20.26728
8.95,0.142088,11.171533
6.41,0.142462,63.20404
6.11,0.142638,-17.578155
7.76,0.143155,53.2541
7.38,0.144105,-74.238455
6.21,0.14471,36.627125
7.05,0.145309,-2.222583
7.44,0.145546,74.214765
8.5,0.145823,-52.328069
7.84,0.146077,14.141976
11.01,0.146154,-86.188489
7.88,0.146163,-34.794373
9.1,0.146318,-66.759461
8.65,0.146337,-36.744173
8.41,0.146547,86.787882
7.81,0.146797,-47.060773
7.43,0.146874,8.021868
8.76,0.146984,-7.897063
7.58,0.147193,40.841019
9.55,0.147195,-60.264565
6.82,0.147223,40.494549
10.24,0.147738,-25.547755
6.24,0.147814,25.462985
7.31,0.147845,0.692453
10.52,0.148031,-42.918242
9.27,0.148058,-35.819052
7.13,0.148235,-22.179517
9.14,0.148699,-26.223648
8.48,0.149052,12.804382
8.57,0.149189,66.456662
7.21,0.149788,-21.206353
9.05,0.149865,34.367931
7.72,0.149905,-39.737159
8.03,0.149981,49.858079
6.47,0.150045,28.247543
5.57,0.150672,18.211963
6.32,0.15066,-54.001931
7.78,0.150744,-35.091879
11.65,0.1508,27.651596
8.58,0.15079,9.849967
10.37,0.150791,-24.335003
9.23,0.150881,22.664265
9.2,0.150932,-59.280974
6.93,0.151014,40.842859
11.73,0.151197,-27.122139
9.32,0.151096,-28.330084
7.11,0.151197,19.924689
9.79,0.15157,-36.650588
8.21,0.151783,-50.607799
8.42,0.151938,-50.013647
7.05,0.152382,-50.166802
9.26,0.152582,-38.289629
2.28,0.152887,59.14978
8.77,0.152834,44.721765
9.25,0.153075,21.05935
9.3,0.153196,-31.477277
10.63,0.153232,44.722674
9.9,0.153585,42.254417
9.89,0.153605,-0.752178
9.33,0.1541,32.476464
7.78,0.154371,25.281961
7.02,0.154625,65.070892
11.26,0.155063,-37.383061
8.89,0.155158,-59.060393
9.6,0.155308,-41.886399
7.07,0.155401,17.533922
6.01,0.155525,79.714545
5.42,0.155851,-27.987928
9.11,0.156485,-41.044534
8.24,0.156465,58.665895
8.97,0.156635,14.417644
3.88,0.156836,-45.747426
8.59,0.156827,0.071997
7.17,0.157661,46.387872
7.94,0.157818,19.115793
7.27,0.157788,1.244035
9.59,0.157834,-12.035195
7.94,0.158451,-10.187542
8.52,0.158525,-34.110862
7.59,0.158617,19.559094
9.17,0.158954,-40.649444
8.08,0.15947,-66.029793
9.8,0.159703,-46.375141
8.92,0.159782,-21.381862
9.91,0.160083,-51.737077
9.42,0.160101,62.667817
8.84,0.160119,26.682032
10.15,0.160147,51.566909
8.37,0.160928,-56.191823
9.33,0.16104,-32.07893
9.35,0.161462,57.259583
7.4,0.161482,-63.589789
8.35,0.16155,-37.314869
9.53,0.162169,-31.825505
9.59,0.162137,-3.678416
10.05,0.162862,36.473758
8.57,0.163481,-40.892934
8.48,0.163469,19.381167
8.43,0.163526,-6.841211
8.45,0.163878,53.526584
8.84,0.163912,-33.789024
11.18,0.164276,61.51404
8.64,0.164347,8.453169
8.42,0.164387,11.416198
6.34,0.164474,-62.296794
7.93,0.164562,51.42302
8.36,0.16457,12.710828
8.32,0.164681,-50.267822
7.77,0.165277,4.832508
6.84,0.165283,-2.561266
8.78,0.165664,-78.5906
7.19,0.165767,-44.66644
8.5,0.165865,4.166104
8.82,0.165952,8.576941
9.04,0.16601,43.438358
7.93,0.166142,-65.35711
7.66,0.166416,-25.874708
10.07,0.166811,-28.482428
9.03,0.167122,44.109662
5.54,0.167278,11.145813
5.29,0.167293,-82.224047
